AssignmentID,Name,Description,CategoryID,DueDate,MaxPoints,NoteID
1,Lab 1,Simple Harmonic Motion,2,4/8/2013,1,
2,Lab 2,Archimedes' Principle,2,4/15/2013,1,
3,Lab 3,Calorimetry,2,4/22/2013,1,
5,Lab 4,Waves on Strings,2,5/6/2013,1,
6,Lab 5,Standing Waves and Harmonics,2,5/13/2013,1,
7,Lab 6,Mirrors and Lenses,2,5/20/2013,1,
8,Lab 7,Wave Nature of Light,2,6/3/2013,1,
9,Quiz 1,Vibration and Elasticity,1,4/8/2013,20,
10,Quiz 2,Fluids,1,4/15/2013,20,
11,Quiz 3,Heat and Temperature,1,4/22/2013,20,
12,Quiz 4,Thermodynamics,1,5/6/2013,20,
14,Quiz 5,Wave Motion and Radiation,1,5/13/2013,20,
15,Quiz 6,Wave Motion and Interference,1,5/20/2013,20,
16,Quiz 7,Geometric Optics,1,5/27/2013,20,
17,Quiz 8,Physical Optics,1,6/5/2013,20,
18,Exam 1,Midterm,3,5/1/2013,60,
19,Exam 2,Final Exam,3,6/10/2013,60,
