AssignmentID,StudentID,EarnedPoints,ExtraPoints,NoteID
1,1,1,,
1,2,1,,
1,3,1,,
1,4,1,,
1,5,1,,
1,6,1,,
1,7,1,,
1,8,1,,
1,9,1,,
1,10,1,,
1,11,1,,
1,12,1,,
1,13,1,,
1,14,1,,
1,15,1,,
1,16,1,,
1,17,1,,
1,18,1,,
1,19,1,,
1,20,1,,
1,21,1,,
1,22,1,,
1,23,1,,
1,24,1,,
1,25,1,,
1,26,1,,
1,27,1,,
1,28,1,,
1,29,1,,
1,30,1,,
9,1,17,,
9,2,18,,
9,3,11,5,
9,4,15,3,
9,5,19,,
9,6,19,,
9,7,19,,
9,8,18,1,
9,9,15,3,
9,10,17,2,
9,11,20,,
9,12,20,,
9,13,18,1,
9,14,19,1,
9,15,11,5,
9,16,20,,
9,17,10,4,
9,18,17,2,
9,19,14,3,
9,20,17,,
9,21,14,3,
9,22,20,,
9,23,20,,
9,24,17,,
9,25,20,,
9,26,19,,
9,27,20,,
9,28,19,,
9,29,20,,
9,30,20,,
10,1,13,4,
10,2,13,4,
10,3,11,5,
10,4,17,2,
10,5,17,,
10,6,0,,
10,7,20,,
10,8,15,3,
10,9,15,3,
10,10,17,2,
10,11,19,,
10,12,20,,
10,13,17,2,
10,14,16,2,
10,15,10,5,
10,16,20,,
10,17,13,,
10,18,15,3,
10,19,13,3,
10,20,13,4,
10,21,15,3,
10,22,16,2,
10,23,17,2,
10,24,12,4,
10,25,17,2,
10,26,19,,
10,27,11,5,
10,28,20,,
11,1,15,,
11,2,15,,
11,3,12,4,
11,4,16,2,
11,5,14,3,
11,6,0,,
11,7,20,,
11,8,16,2,
11,9,19,,
11,10,13,4,
11,11,19,,
11,12,20,,
11,13,14,3,
11,14,19,1,
11,15,12,4,
11,16,19,,
11,17,17,,
11,18,12,4,
11,19,11,,
11,20,16,2,
11,21,12,4,
11,22,11,5,
11,23,20,,
11,24,8,,
11,25,14,,
11,26,16,,
11,27,14,,
11,28,19,,
12,1,20,,
12,2,20,,
12,3,9,6,
12,4,14,2,
12,5,19,,
12,6,0,,
12,7,20,,
12,8,17,2,
12,9,20,,
12,10,18,1,
12,11,20,,
12,12,20,,
12,13,20,,
12,14,9,6,
12,15,18,,
12,16,20,,
12,17,17,,
12,18,20,,
12,19,18,1,
12,20,18,,
12,21,0,,
12,22,18,,
12,23,20,,
12,24,17,,
12,25,20,,
12,26,20,,
12,27,20,,
12,28,20,,
2,1,1,,
2,2,1,,
2,3,1,,
2,4,1,,
2,5,1,,
2,6,0,,
2,7,1,,
2,8,1,,
2,9,1,,
2,10,1,,
2,11,1,,
2,12,1,,
2,13,1,,
2,14,1,,
2,15,1,,
2,16,1,,
2,17,1,,
2,18,1,,
2,19,1,,
2,20,1,,
2,21,1,,
2,22,1,,
2,23,1,,
2,24,1,,
2,25,1,,
2,26,1,,
2,27,1,,
2,28,1,,
3,1,1,,
3,2,1,,
3,3,1,,
3,4,1,,
3,5,1,,
3,6,0,,
3,7,1,,
3,8,1,,
3,9,1,,
3,10,1,,
3,11,1,,
3,12,1,,
3,13,1,,
3,14,1,,
3,15,1,,
3,16,1,,
3,17,1,,
3,18,1,,
3,19,1,,
3,20,1,,
3,21,0,,
3,22,1,,
3,23,1,,
3,24,1,,
3,25,1,,
3,26,1,,
3,27,1,,
3,28,1,,
4,1,1,,
4,2,1,,
4,3,1,,
4,4,1,,
4,5,1,,
4,6,0,,
4,7,1,,
4,8,1,,
4,9,1,,
4,10,1,,
4,11,1,,
4,12,1,,
4,13,1,,
4,14,1,,
