filename,type_id,n,week,day
2013p201lf01.pdf,7,1,2,0
2013p201lf02.pdf,7,2,4,0
2013p201lf03.pdf,7,3,5,0
2013p201lf04.pdf,7,4,6,0
2013p201lf05.pdf,7,5,7,0
2013p201lf06.pdf,7,6,8,0
2013p201lf07.pdf,7,7,9,0
2013p201lf08.pdf,7,8,10,0
2013p201ls01.ppt,2,1,1,0
2013p201ls02.ppt,2,2,1,2
2013p201ls03.ppt,2,3,2,2
2013p201ls04.ppt,2,4,3,2
2013p201ls05.ppt,2,5,4,2
2013p201ls06.ppt,2,6,5,2
2013p201ls07.ppt,2,7,6,2
2013p201ls08.ppt,2,8,7,2
2013p201ls09.ppt,2,9,8,2
2013p201ls10.ppt,2,10,9,2
2013p201ls11.ppt,2,11,10,2
2013p201lw01.pdf,6,1,2,0
2013p201lw02.pdf,6,2,4,0
2013p201lw03.pdf,6,3,5,0
2013p201lw04.pdf,6,4,6,0
2013p201lw05.pdf,6,5,7,0
2013p201lw06.pdf,6,6,8,0
2013p201lw07.pdf,6,7,9,0
2013p201lw08.pdf,6,8,10,0
2013p201qp01.pdf,8,1,2,0
2013p201qp02.pdf,8,2,3,0
2013p201qp03.pdf,8,3,4,0
2013p201qp04.pdf,8,4,5,0
2013p201qp05.pdf,8,5,6,0
2013p201qp06.pdf,8,6,7,0
2013p201qp07.pdf,8,7,8,0
2013p201qp08.pdf,8,8,9,0
2013p201qp09.pdf,8,9,10,0
2013p201sy.pdf,1,,,
2013p201xp01.pdf,10,,,
2013p201ef.doc,12,,,
